# 16:22:09.069:0: Opening log file on: Thu Apr 25 16:22:09 2013
# 16:22:09.070:0: DFW_BUILD_3_3_1_21 - 06/23/2011 12:29:11
# 16:22:09.070:0: DFW plugin directories: C:/WindRiver/workbench-3.3/dfw/host/x86-win32/dfwplugins
# 16:22:09.070:0: C:\WindRiver\workbench-3.3\dfw\x86-win32\bin\dfwserver.exe -protocol mi -io sockets -useregistry -session dfw-wb331-Nathan -registryhost 127.0.0.1 -ls+ C:/Users/Nathan/Documents/GitHub/Team1257Code/.metadata/.plugins/com.windriver.ide.target/dfwserver.log -lt+ C:/Users/Nathan/Documents/GitHub/Team1257Code/.metadata/.plugins/com.windriver.ide.target/dfwstatus.log 
# 16:22:09.088:1: Opening session 2cb9998
16:22:09.088:1: c:	\0012
16:22:09.089:1: c:	-wrs-log -lt "" -max 5M
16:22:09.089:1: r:	^done
16:22:09.089:1: r:	(gdb)
16:22:09.089:1: r:	^done,lt="C:/Users/Nathan/Documents/GitHub/Team1257Code/.metadata/.plugins/com.windriver.ide.target/dfwstatus.log",lt="C:/Users/Nathan/Documents/GitHub/Team1257Code/.metadata/.plugins/com.windriver.ide.target/dfwstatus.log"
16:22:09.089:1: r:	(gdb)
16:22:09.089:1: c:	-wrs-log -ls "" -max 5M
16:22:09.091:1: r:	^done,ls="C:/Users/Nathan/Documents/GitHub/Team1257Code/.metadata/.plugins/com.windriver.ide.target/dfwserver.log",ls="C:/Users/Nathan/Documents/GitHub/Team1257Code/.metadata/.plugins/com.windriver.ide.target/dfwserver.log"
16:22:09.091:1: r:	(gdb)
# 16:22:09.091:1: Closing session 2cb9998
# 16:22:09.092:0: (listening - gdbmi on port 10265)
# 16:22:09.101:0: initialization finished, pid=368
# 16:22:09.142:2: Opening session 2f2ca30
16:22:09.206:2: c:	0-wrs-info-retrieve /DfwServer default:*
16:22:09.207:2: r:	0^done,info={path="",nodeInfo={nodeName="DfwServer",nodeType="struct",numChildrenReturned="9",children=[{nodeName="BuildName",nodeValue="DFW_BUILD_3_3_1_21 - 06/23/2011 12:29:11"},{nodeName="APIVersionMajor",nodeValue="02"},{nodeName="APIVersionMinor",nodeValue="012.000"},{nodeName="CommandLine",nodeValue="C:\\\\WindRiver\\\\workbench-3.3\\\\dfw\\\\x86-win32\\\\bin\\\\dfwserver.exe -protocol mi -io sockets -useregistry -session dfw-wb331-Nathan -registryhost 127.0.0.1 -ls+ C:/Users/Nathan/Documents/GitHub/Team1257Code/.metadata/.plugins/com.windriver.ide.target/dfwserver.log -lt+ C:/Users/Nathan/Documents/GitHub/Team1257Code/.metadata/.plugins/com.windriver.ide.target/dfwstatus.log "},{nodeName="ProcessID",nodeValue="368"},{nodeName="PluginDirectory",nodeValue="C:/WindRiver/workbench-3.3/dfw/host/x86-win32/dfwplugins"},{nodeName="DFW_PLUGIN_PATH",nodeValue=""},{nodeName="Release",nodeValue="true"},{nodeName="Port",nodeValue="10265"}]}}
16:22:09.207:2: r:	(gdb)
16:22:09.325:2: c:	1-wrs-module-set -m ""
16:22:09.325:2: r:	1^done,max-file-size="60M"
16:22:09.325:2: r:	(gdb)
16:22:09.326:2: c:	2-wrs-log -lt + -max 5M
16:22:09.327:2: r:	2^done,lt="+C:/Users/Nathan/Documents/GitHub/Team1257Code/.metadata/.plugins/com.windriver.ide.target/dfwstatus.log",lt="+C:/Users/Nathan/Documents/GitHub/Team1257Code/.metadata/.plugins/com.windriver.ide.target/dfwstatus.log"
16:22:09.327:2: r:	(gdb)
16:22:09.328:2: c:	3-wrs-log -ls + -max 5M
# 16:22:09.328:0: Closing log file
# 16:22:09.328:0: Opening log file on: Thu Apr 25 16:22:09 2013
# 16:22:09.328:0: DFW_BUILD_3_3_1_21 - 06/23/2011 12:29:11
# 16:22:09.328:0: DFW plugin directories: C:/WindRiver/workbench-3.3/dfw/host/x86-win32/dfwplugins
16:22:09.328:2: r:	3^done,ls="+C:/Users/Nathan/Documents/GitHub/Team1257Code/.metadata/.plugins/com.windriver.ide.target/dfwserver.log",ls="+C:/Users/Nathan/Documents/GitHub/Team1257Code/.metadata/.plugins/com.windriver.ide.target/dfwserver.log"
16:22:09.328:2: r:	(gdb)
16:22:09.328:2: c:	4-wrs-info-retrieve /ProcessorPluginsInformation default:*/{Name,Description,ProcessorTree/*/*,RegisterModels/*/*/*}
